"Subj"	"Activity"	"Measurement"	"Mean"
18	"STANDING"	"tBodyAcc-mean()-X"	0.278458805890411
19	"STANDING"	"tBodyAcc-mean()-X"	0.27817226
20	"STANDING"	"tBodyAcc-mean()-X"	0.278076904657534
21	"STANDING"	"tBodyAcc-mean()-X"	0.27695224258427
22	"STANDING"	"tBodyAcc-mean()-X"	0.279053861587302
23	"STANDING"	"tBodyAcc-mean()-X"	0.277899323235294
24	"STANDING"	"tBodyAcc-mean()-X"	0.280348883913043
25	"STANDING"	"tBodyAcc-mean()-X"	0.278013701621622
26	"STANDING"	"tBodyAcc-mean()-X"	0.281127035405405
27	"STANDING"	"tBodyAcc-mean()-X"	0.279566921625
28	"STANDING"	"tBodyAcc-mean()-X"	0.277795069113924
29	"STANDING"	"tBodyAcc-mean()-X"	0.277965065846154
30	"STANDING"	"tBodyAcc-mean()-X"	0.277112699152542
1	"LAYING"	"tBodyAcc-mean()-X"	0.22159824394
2	"LAYING"	"tBodyAcc-mean()-X"	0.281373403958333
3	"LAYING"	"tBodyAcc-mean()-X"	0.275516852741935
4	"LAYING"	"tBodyAcc-mean()-X"	0.263559214981481
5	"LAYING"	"tBodyAcc-mean()-X"	0.278334325576923
6	"LAYING"	"tBodyAcc-mean()-X"	0.248656520140351
7	"LAYING"	"tBodyAcc-mean()-X"	0.250176694038462
8	"LAYING"	"tBodyAcc-mean()-X"	0.261254282907407
9	"LAYING"	"tBodyAcc-mean()-X"	0.2591955368
10	"LAYING"	"tBodyAcc-mean()-X"	0.280230574137931
11	"LAYING"	"tBodyAcc-mean()-X"	0.280592970877193
12	"LAYING"	"tBodyAcc-mean()-X"	0.260113433
13	"LAYING"	"tBodyAcc-mean()-X"	0.276716360483871
14	"LAYING"	"tBodyAcc-mean()-X"	0.233275439803922
15	"LAYING"	"tBodyAcc-mean()-X"	0.2894756525
16	"LAYING"	"tBodyAcc-mean()-X"	0.274227162571429
17	"LAYING"	"tBodyAcc-mean()-X"	0.269780085577465
18	"LAYING"	"tBodyAcc-mean()-X"	0.274691576923077
19	"LAYING"	"tBodyAcc-mean()-X"	0.272653733493976
20	"LAYING"	"tBodyAcc-mean()-X"	0.239507882205882
21	"LAYING"	"tBodyAcc-mean()-X"	0.271325472455556
22	"LAYING"	"tBodyAcc-mean()-X"	0.279959721194444
23	"LAYING"	"tBodyAcc-mean()-X"	0.274038007986111
24	"LAYING"	"tBodyAcc-mean()-X"	0.272850494930556
25	"LAYING"	"tBodyAcc-mean()-X"	0.250791828613699
26	"LAYING"	"tBodyAcc-mean()-X"	0.271645864540789
27	"LAYING"	"tBodyAcc-mean()-X"	0.274102492432432
28	"LAYING"	"tBodyAcc-mean()-X"	0.2759134825
29	"LAYING"	"tBodyAcc-mean()-X"	0.287295196811594
30	"LAYING"	"tBodyAcc-mean()-X"	0.281033900571429
1	"WALKING"	"tBodyAcc-mean()-Y"	-0.0173838185273684
2	"WALKING"	"tBodyAcc-mean()-Y"	-0.0185949199145763
3	"WALKING"	"tBodyAcc-mean()-Y"	-0.0171767844203448
4	"WALKING"	"tBodyAcc-mean()-Y"	-0.0148399475341667
5	"WALKING"	"tBodyAcc-mean()-Y"	-0.0172850317482679
6	"WALKING"	"tBodyAcc-mean()-Y"	-0.0168954189082456
7	"WALKING"	"tBodyAcc-mean()-Y"	-0.018653665345614
8	"WALKING"	"tBodyAcc-mean()-Y"	-0.0186628865310417
9	"WALKING"	"tBodyAcc-mean()-Y"	-0.0180891971284423
10	"WALKING"	"tBodyAcc-mean()-Y"	-0.017022351190566
11	"WALKING"	"tBodyAcc-mean()-Y"	-0.0166475833623729
12	"WALKING"	"tBodyAcc-mean()-Y"	-0.015560927606
13	"WALKING"	"tBodyAcc-mean()-Y"	-0.0185660651947368
14	"WALKING"	"tBodyAcc-mean()-Y"	-0.0217785380966102
15	"WALKING"	"tBodyAcc-mean()-Y"	-0.0170809740090741
16	"WALKING"	"tBodyAcc-mean()-Y"	-0.0204286929452941
17	"WALKING"	"tBodyAcc-mean()-Y"	-0.0184875403339344
18	"WALKING"	"tBodyAcc-mean()-Y"	-0.0178023631866071
19	"WALKING"	"tBodyAcc-mean()-Y"	-0.0191773587903846
20	"WALKING"	"tBodyAcc-mean()-Y"	-0.021199992245098
21	"WALKING"	"tBodyAcc-mean()-Y"	-0.0181610317526923
22	"WALKING"	"tBodyAcc-mean()-Y"	-0.0167213607957174
23	"WALKING"	"tBodyAcc-mean()-Y"	-0.0183618711932203
24	"WALKING"	"tBodyAcc-mean()-Y"	-0.0225446400534483
25	"WALKING"	"tBodyAcc-mean()-Y"	-0.0186477624716216
26	"WALKING"	"tBodyAcc-mean()-Y"	-0.0154259586949153
27	"WALKING"	"tBodyAcc-mean()-Y"	-0.0166478783221912
28	"WALKING"	"tBodyAcc-mean()-Y"	-0.0156759722981481
29	"WALKING"	"tBodyAcc-mean()-Y"	-0.0162915600588679
30	"WALKING"	"tBodyAcc-mean()-Y"	-0.0175880385730769
1	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0239531492643396
2	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0214121132045833
3	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0324109410555932
4	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0319804295729615
5	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0325269755153191
6	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0272425385070588
7	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0275639005607843
8	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0282415136341463
9	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0195101099975714
10	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0143854920340426
11	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0303157822055556
12	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0263574903403846
13	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0277392253910909
14	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0204388180024074
15	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0287523860708333
16	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0143654945011765
17	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0228645614308333
18	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0222060684378914
19	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0303986615775
20	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0282258047588235
21	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0237218695148936
22	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0268622561133333
23	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0323844029237255
24	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0251979434569492
25	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0269863524264615
26	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0281633797398182
27	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0200953324078431
28	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0279443943478431
29	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0299465312326531
30	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-Y"	-0.0253311698786154
1	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.00991850461020408
2	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0226614158361702
3	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0193554079328571
4	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.00980200850666667
5	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.00850107533191489
6	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.019536840063125
7	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0166332372978723
8	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0211058674973684
9	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0203994269075476
10	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0200050770710526
11	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0178097721219565
12	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.018084266865793
13	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0143723839108511
14	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0200141413657778
15	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.00563047804309524
16	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0183898583787234
17	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0167359404347826
18	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0168666920221818
19	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0145942275069487
20	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.00964120773155556
21	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0173195390157778
22	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0197999371686389
23	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0162111457238889
24	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0145730348310909
25	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0210170522987931
26	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.01262580966778
27	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0135564467159091
28	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0220230465913043
29	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.01494121505625
30	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	-0.0174383900204839
1	"SITTING"	"tBodyAcc-mean()-Y"	-0.00130828765170213
2	"SITTING"	"tBodyAcc-mean()-Y"	-0.0156879937282609
3	"SITTING"	"tBodyAcc-mean()-Y"	-0.00350299841730769
4	"SITTING"	"tBodyAcc-mean()-Y"	-0.007163065158
5	"SITTING"	"tBodyAcc-mean()-Y"	-0.00990083527045455
6	"SITTING"	"tBodyAcc-mean()-Y"	-0.0145911615290909
7	"SITTING"	"tBodyAcc-mean()-Y"	-0.01461097580375
8	"SITTING"	"tBodyAcc-mean()-Y"	-0.00672550621304348
9	"SITTING"	"tBodyAcc-mean()-Y"	-0.02701677698
10	"SITTING"	"tBodyAcc-mean()-Y"	-0.015042681852037
11	"SITTING"	"tBodyAcc-mean()-Y"	-0.0149195616754717
12	"SITTING"	"tBodyAcc-mean()-Y"	-0.0157892988523529
13	"SITTING"	"tBodyAcc-mean()-Y"	-0.00587732936326531
14	"SITTING"	"tBodyAcc-mean()-Y"	-0.00870565463888889
15	"SITTING"	"tBodyAcc-mean()-Y"	-0.0117188472271186
16	"SITTING"	"tBodyAcc-mean()-Y"	-0.0102497939956522
17	"SITTING"	"tBodyAcc-mean()-Y"	-0.014156274084375
18	"SITTING"	"tBodyAcc-mean()-Y"	-0.0128691279736842
19	"SITTING"	"tBodyAcc-mean()-Y"	-0.016739260030137
20	"SITTING"	"tBodyAcc-mean()-Y"	-0.0147229305131818
21	"SITTING"	"tBodyAcc-mean()-Y"	-0.0144009705494118
22	"SITTING"	"tBodyAcc-mean()-Y"	-0.0123468446419355
23	"SITTING"	"tBodyAcc-mean()-Y"	-0.0133945015676471
24	"SITTING"	"tBodyAcc-mean()-Y"	-0.0131255097938235
25	"SITTING"	"tBodyAcc-mean()-Y"	-0.0147696808030769
26	"SITTING"	"tBodyAcc-mean()-Y"	-0.00713364541358974
27	"SITTING"	"tBodyAcc-mean()-Y"	-0.0155269799285714
28	"SITTING"	"tBodyAcc-mean()-Y"	-0.0185404441258333
29	"SITTING"	"tBodyAcc-mean()-Y"	-0.016630680375
30	"SITTING"	"tBodyAcc-mean()-Y"	-0.00804731295322581
1	"STANDING"	"tBodyAcc-mean()-Y"	-0.0161375901037736
2	"STANDING"	"tBodyAcc-mean()-Y"	-0.0184208270166667
3	"STANDING"	"tBodyAcc-mean()-Y"	-0.0143376555065574
4	"STANDING"	"tBodyAcc-mean()-Y"	-0.00948911098553571
5	"STANDING"	"tBodyAcc-mean()-Y"	-0.00700418554517857
6	"STANDING"	"tBodyAcc-mean()-Y"	-0.0181236327175439
7	"STANDING"	"tBodyAcc-mean()-Y"	-0.0145740341037736
8	"STANDING"	"tBodyAcc-mean()-Y"	-0.0148113067148148
9	"STANDING"	"tBodyAcc-mean()-Y"	-0.0200454954022222
10	"STANDING"	"tBodyAcc-mean()-Y"	-0.0155418603409091
11	"STANDING"	"tBodyAcc-mean()-Y"	-0.0171990886595745
12	"STANDING"	"tBodyAcc-mean()-Y"	-0.0169002543196721
13	"STANDING"	"tBodyAcc-mean()-Y"	-0.0167891993964912
14	"STANDING"	"tBodyAcc-mean()-Y"	-0.01520781344
15	"STANDING"	"tBodyAcc-mean()-Y"	-0.0183516360396226
16	"STANDING"	"tBodyAcc-mean()-Y"	-0.0165999672935897
17	"STANDING"	"tBodyAcc-mean()-Y"	-0.0174120064169231
18	"STANDING"	"tBodyAcc-mean()-Y"	-0.0166353518150685
19	"STANDING"	"tBodyAcc-mean()-Y"	-0.0154244056945205
20	"STANDING"	"tBodyAcc-mean()-Y"	-0.0180695049161644
21	"STANDING"	"tBodyAcc-mean()-Y"	-0.0167084730205618
22	"STANDING"	"tBodyAcc-mean()-Y"	-0.0158563207496825
23	"STANDING"	"tBodyAcc-mean()-Y"	-0.0177475547867647
24	"STANDING"	"tBodyAcc-mean()-Y"	-0.0144785340348986
25	"STANDING"	"tBodyAcc-mean()-Y"	-0.0163569730274324
26	"STANDING"	"tBodyAcc-mean()-Y"	-0.0166608306652703
27	"STANDING"	"tBodyAcc-mean()-Y"	-0.016593236445
28	"STANDING"	"tBodyAcc-mean()-Y"	-0.0172635124672152
29	"STANDING"	"tBodyAcc-mean()-Y"	-0.0172605869061538
30	"STANDING"	"tBodyAcc-mean()-Y"	-0.0170163887813559
1	"LAYING"	"tBodyAcc-mean()-Y"	-0.0405139534294
2	"LAYING"	"tBodyAcc-mean()-Y"	-0.0181587397583333
3	"LAYING"	"tBodyAcc-mean()-Y"	-0.0189556785048387
4	"LAYING"	"tBodyAcc-mean()-Y"	-0.0150031841055556
5	"LAYING"	"tBodyAcc-mean()-Y"	-0.0183042123269231
6	"LAYING"	"tBodyAcc-mean()-Y"	-0.0102529170561404
7	"LAYING"	"tBodyAcc-mean()-Y"	-0.0204411516884615
8	"LAYING"	"tBodyAcc-mean()-Y"	-0.0212281733881481
9	"LAYING"	"tBodyAcc-mean()-Y"	-0.020526821662
10	"LAYING"	"tBodyAcc-mean()-Y"	-0.024294484137931
11	"LAYING"	"tBodyAcc-mean()-Y"	-0.0176598052315789
12	"LAYING"	"tBodyAcc-mean()-Y"	-0.0175203917146667
13	"LAYING"	"tBodyAcc-mean()-Y"	-0.020440454366129
14	"LAYING"	"tBodyAcc-mean()-Y"	-0.0113424652490196
15	"LAYING"	"tBodyAcc-mean()-Y"	-0.0166296542054167
16	"LAYING"	"tBodyAcc-mean()-Y"	-0.0166103510562857
17	"LAYING"	"tBodyAcc-mean()-Y"	-0.0168462006729577
18	"LAYING"	"tBodyAcc-mean()-Y"	-0.0173937684615385
19	"LAYING"	"tBodyAcc-mean()-Y"	-0.0171426864421687
20	"LAYING"	"tBodyAcc-mean()-Y"	-0.0144406281132353
21	"LAYING"	"tBodyAcc-mean()-Y"	-0.0184233048415556
22	"LAYING"	"tBodyAcc-mean()-Y"	-0.0142629864502778
23	"LAYING"	"tBodyAcc-mean()-Y"	-0.0216553835833333
24	"LAYING"	"tBodyAcc-mean()-Y"	-0.0173555210111111
25	"LAYING"	"tBodyAcc-mean()-Y"	-0.0188943663671233
26	"LAYING"	"tBodyAcc-mean()-Y"	-0.0191895728026316
27	"LAYING"	"tBodyAcc-mean()-Y"	-0.0179867611216216
28	"LAYING"	"tBodyAcc-mean()-Y"	-0.0167537858225
29	"LAYING"	"tBodyAcc-mean()-Y"	-0.0171965484202899
30	"LAYING"	"tBodyAcc-mean()-Y"	-0.0194494098614286
1	"WALKING"	"tBodyAcc-mean()-Z"	-0.111148103547368
2	"WALKING"	"tBodyAcc-mean()-Z"	-0.105500357966102
3	"WALKING"	"tBodyAcc-mean()-Z"	-0.112674859827586
4	"WALKING"	"tBodyAcc-mean()-Z"	-0.11140306485
5	"WALKING"	"tBodyAcc-mean()-Z"	-0.107741776464286
6	"WALKING"	"tBodyAcc-mean()-Z"	-0.110303165877193
7	"WALKING"	"tBodyAcc-mean()-Z"	-0.110912234947368
8	"WALKING"	"tBodyAcc-mean()-Z"	-0.107252090833333
9	"WALKING"	"tBodyAcc-mean()-Z"	-0.110820512307692
10	"WALKING"	"tBodyAcc-mean()-Z"	-0.109057512132075
11	"WALKING"	"tBodyAcc-mean()-Z"	-0.106096304033898
